CustomerID,FullName,Phone,Email,Address
1,Petrenko 1,+380632187160,user1@email.com,"Dnipro, Ukraine"
2,Petrenko 2,+380559416262,user2@email.com,"Lviv, Ukraine"
3,Shevchenko 3,+380529880171,user3@email.com,"Lviv, Ukraine"
4,Petrenko 4,+380662017875,user4@email.com,"Kharkiv, Ukraine"
5,Kovalenko 5,+380605936873,user5@email.com,"Kharkiv, Ukraine"
6,Shevchenko 6,+380594835557,user6@email.com,"Kyiv, Ukraine"
7,Shevchenko 7,+380523892292,user7@email.com,"Kharkiv, Ukraine"
8,Kovalenko 8,+380559671479,user8@email.com,"Dnipro, Ukraine"
9,Shevchenko 9,+380578874424,user9@email.com,"Lviv, Ukraine"
10,Kovalenko 10,+380551000281,user10@email.com,"Odesa, Ukraine"
11,Boyko 11,+380500556997,user11@email.com,"Odesa, Ukraine"
12,Ivanov 12,+380606190284,user12@email.com,"Dnipro, Ukraine"
13,Petrenko 13,+380616598380,user13@email.com,"Kyiv, Ukraine"
14,Shevchenko 14,+380592642235,user14@email.com,"Kyiv, Ukraine"
15,Tkachenko 15,+380595987145,user15@email.com,"Lviv, Ukraine"
16,Tkachenko 16,+380663973342,user16@email.com,"Kharkiv, Ukraine"
17,Petrenko 17,+380660106357,user17@email.com,"Kharkiv, Ukraine"
18,Petrenko 18,+380649553989,user18@email.com,"Kyiv, Ukraine"
19,Tkachenko 19,+380548602127,user19@email.com,"Odesa, Ukraine"
20,Kovalenko 20,+380605898360,user20@email.com,"Dnipro, Ukraine"
21,Ivanov 21,+380588504293,user21@email.com,"Dnipro, Ukraine"
22,Petrenko 22,+380551228026,user22@email.com,"Dnipro, Ukraine"
23,Boyko 23,+380584477036,user23@email.com,"Kyiv, Ukraine"
